name,province,latitude,longitude
Aiello del Friuli,UD,45.866667,13.366667
Amaro,UD,46.375000,13.096389
Ampezzo,UD,46.417086,12.790274
Andreis,PN,46.200000,12.616667
Aquileia,UD,45.766667,13.366667
Arba,PN,46.150000,12.783333
Arta Terme,UD,46.472380,13.026675
Artegna,UD,46.233333,13.150000
Attimis,UD,46.183333,13.300000
Aviano,PN,46.066667,12.583333
Azzano Decimo,PN,45.883333,12.716667
Bagnaria Arsa,UD,45.883333,13.283333
Barcis,PN,46.191700,12.559900
Basiliano,UD,46.016667,13.100000
Bertiolo,UD,45.945000,13.055278
Bicinicco,UD,45.933333,13.250000
Bordano,UD,46.316667,13.100000
Brugnera,PN,45.900000,12.533333
Budoia,PN,46.050000,12.533333
Buja,UD,46.212220,13.116910
Buttrio,UD,46.016667,13.333333
Camino al Tagliamento,UD,45.927500,12.944722
Campoformido,UD,46.016667,13.166667
Campolongo Tapogliano,UD,45.866667,13.383333
Caneva,PN,45.966667,12.450000
Capriva del Friuli,GO,45.947549,13.511374
Carlino,UD,45.800000,13.183333
Casarsa della Delizia,PN,45.950000,12.850000
Cassacco,UD,46.166667,13.183333
Castelnovo del Friuli,PN,46.200198,12.903523
Castions di Strada,UD,45.900000,13.183333
Cavasso Nuovo,PN,46.200000,12.766667
Cavazzo Carnico,UD,46.366667,13.033333
Cercivento,UD,46.527270,12.989234
Cervignano del Friuli,UD,45.823056,13.335000
Chions,PN,45.871395,12.768136
Chiopris-Viscone,UD,45.926670,13.404170
Chiusaforte,UD,46.408334,13.309025
Cimolais,PN,46.283333,12.433333
Cividale del Friuli,UD,46.090500,13.435000
Claut,PN,46.266667,12.516667
Clauzetto,PN,46.233333,12.916667
Codroipo,UD,45.961425,12.977386
Colloredo di Monte A.,UD,46.162501,13.131136
Comeglians,UD,46.515234,12.867804
Cordenons,PN,45.983333,12.700000
Cordovado,PN,45.850000,12.883333
Cormons,GO,45.950000,13.466667
Corno di Rosazzo,UD,45.983333,13.450000
Coseano,UD,46.100000,13.016667
Dignano,UD,46.083333,12.933333
Doberdò del Lago,GO,45.844630,13.540142
Dogna,UD,46.447931,13.315019
Dolegna del Collio,GO,46.033333,13.483333
Drenchia,UD,46.183889,13.636389
Duino Aurisina,TS,45.770381,13.675293
Enemonzo,UD,46.410902,12.878716
Erto e Casso,PN,46.274427,12.372088
Faedis,UD,46.150000,13.350000
Fagagna,UD,46.116667,13.083333
Fanna,PN,46.183333,12.750000
