name,province,latitude,longitude
Abbadia San Salvatore,SI,42.883131,11.670647
Abetone Cutigliano,PT,44.100278,10.756389
Agliana,PT,43.900000,11.000000
Altopascio,LU,43.816667,10.674722
Anghiari,AR,43.541667,12.055000
Arcidosso,GR,42.872222,11.537500
Arezzo,AR,43.463056,11.878056
Asciano,SI,43.234167,11.560833
Aulla,MS,44.216667,9.966667
Badia Tedalda,AR,43.708056,12.187222
Bagni di Lucca,LU,44.009444,10.579444
Bagno a Ripoli,FI,43.750000,11.316667
Bagnone,MS,44.314739,9.994656
Barberino di Mugello,FI,44.000000,11.233333
Barberino Tavarnelle,FI,43.552014,11.173097
Barga,LU,44.075000,10.481667
Bibbiena,AR,43.697500,11.814444
Bibbona,LI,43.269444,10.594444
Bientina,PI,43.707222,10.620556
Borgo a Mozzano,LU,43.979722,10.546667
Borgo San Lorenzo,FI,43.955480,11.385610
Bucine,AR,43.477500,11.615833
Buggiano,PT,43.876389,10.734444
Buonconvento,SI,43.133333,11.483333
Buti,PI,43.729722,10.586667
Calci,PI,43.724444,10.519167
Calcinaia,PI,43.683520,10.616530
Calenzano,FI,43.856667,11.163611
Camaiore,LU,43.933333,10.300000
Campagnatico,GR,42.884444,11.271389
Campi Bisenzio,FI,43.825556,11.133333
Campiglia Marittima,LI,43.066667,10.616667
Campo nell'Elba,LI,42.750000,10.233333
Camporgiano,LU,44.160833,10.334444
Cantagallo,PO,44.016667,11.083333
Capalbio,GR,42.454167,11.422500
Capannoli,PI,43.590000,10.669722
Capannori,LU,43.875556,10.573611
Capoliveri,LI,42.750000,10.383333
Capolona,AR,43.567778,11.864722
Capraia e Limite,FI,43.750000,10.983333
Capraia Isola,LI,43.048700,9.840300
Caprese Michelangelo,AR,43.640833,11.985833
Careggine,LU,44.120833,10.326389
Carmignano,PO,43.810270,11.014940
Carra,MS,38.065679,14.641051
Casale Marittimo,PI,43.297500,10.616667
Casciana Terme Lari,PI,43.552159,10.594207
Cascina,PI,43.680000,10.500278
Casola in Lunigiana,MS,44.200000,10.183333
Casole d'Elsa,SI,43.341111,11.048500
Castagneto Carducci,LI,43.166667,10.600000
Castel del Piano,GR,42.890833,11.539444
Castel Focognano,AR,43.653361,11.788000
Castel San Niccolò,AR,43.745278,11.710000
Castelfiorentino,FI,43.610833,10.970000
