name,province,latitude,longitude
Accumoli,RI,42.694444,13.247500
Acquafondata,FR,41.542778,13.952222
Acuto,FR,41.791928,13.173317
Alatri,FR,41.726389,13.342222
Alvito,FR,41.688889,13.744444
Amaseno,FR,41.466667,13.333333
Amatrice,RI,42.629381,13.288372
Anagni,FR,41.750000,13.150000
Antrodoco,RI,42.416667,13.083333
Aprilia,LT,41.583333,12.650000
Aquino,FR,41.476427,13.712063
Arce,FR,41.583333,13.583333
Arnara,FR,41.583333,13.383333
Arpino,FR,41.647050,13.611550
Ascrea,RI,42.196944,12.997500
Atina,FR,41.620500,13.798439
Ausonia,FR,41.350000,13.750000
Bassiano,LT,41.550000,13.033333
Belmonte Castello,FR,41.583333,13.816667
Belmonte in Sabina,RI,42.316667,12.900000
Borbona,RI,42.516667,13.133333
Borgo Velino,RI,42.400000,13.066667
Borgorose,RI,42.200000,13.233333
Boville Ernica,FR,41.642500,13.473989
Broccostella,FR,41.700000,13.633333
Campodimele,LT,41.383333,13.533333
Campoli Appennino,FR,41.733333,13.683333
Cantalice,RI,42.466667,12.900000
Cantalupo in Sabina,RI,42.300000,12.650000
Casalattico,FR,41.621667,13.725000
Casalvieri,FR,41.633333,13.716667
Casaprota,RI,42.250000,12.800000
Casperia,RI,42.333333,12.666667
Cassino,FR,41.491667,13.833333
Castel di Tora,RI,42.214925,12.963590
Castel Sant'Angelo,RI,42.393869,13.023455
Castelforte,LT,41.300000,13.833333
Castelliri,FR,41.683333,13.550000
Castelnuovo di Farfa,RI,42.233333,12.750000
Castelnuovo Parano,FR,41.366667,13.750000
Castro dei Volsci,FR,41.516667,13.400000
Castrocielo,FR,41.533333,13.700000
Ceccano,FR,41.566667,13.333333
Ceprano,FR,41.550000,13.516667
Cervaro,FR,41.482780,13.902180
Cisterna di Latina,LT,41.588889,12.830556
Cittaducale,RI,42.383333,12.950000
Cittareale,RI,42.616667,13.166667
Colfelice,FR,41.550000,13.600000
Collalto Sabino,RI,42.136700,13.048400
Colle di Tora,RI,42.211742,12.947670
Colle San Magno,FR,41.550000,13.700000
Collegiove,RI,42.183333,13.033333
Collepardo,FR,41.766667,13.366667
Collevecchio,RI,42.333680,12.553290
Colli sul Velino,RI,42.500000,12.783333
Concerviano,RI,42.316667,12.983333
Configni,RI,42.425430,12.644310
Contigliano,RI,42.416667,12.766667
Coreno Ausonio,FR,41.343056,13.776667
Cori,LT,41.650000,12.916667
Cottanello,RI,42.405833,12.686111
Esperia,FR,41.383333,13.683333
Falvaterra,FR,41.504722,13.523889
Fara in Sabina,RI,42.190228,12.696211
Ferentino,FR,41.683333,13.250000
Fiamignano,RI,42.266667,13.133333
Filettino,FR,41.883333,13.333333
Fiuggi,FR,41.800000,13.216667
Fondi,LT,41.350000,13.416667
Fontana Liri,FR,41.616667,13.550000
Fontechiari,FR,41.667500,13.675000
Forano,RI,42.300000,12.600000
Formia,LT,41.256389,13.606944
Frasso Sabino,RI,42.229723,12.804969
Frosinone,FR,41.633333,13.350000
Fumone,FR,41.725000,13.291111
Gaeta,LT,41.216667,13.566667
Gallinaro,FR,41.655020,13.797990
Giuliano di Roma,FR,41.533333,13.283333
Greccio,RI,42.450000,12.750000
Guarcino,FR,41.800000,13.316667
Isola del Liri,FR,41.683333,13.566667
Itri,LT,41.283333,13.533333
Labro,RI,42.526035,12.800279
Latina,LT,41.467222,12.903611
Lenola,LT,41.409167,13.462500
Leonessa,RI,42.568550,12.959960
Longone Sabino,RI,42.266667,12.966667
Maenza,LT,41.516667,13.183333
Magliano Sabina,RI,42.366667,12.483333
Marcetelli,RI,42.233333,13.050000
Micigliano,RI,42.450000,13.050000
Minturno,LT,41.266667,13.750000
Mompeo,RI,42.249000,12.751800
Montasola,RI,42.383333,12.683333
Monte San Biagio,LT,41.350000,13.350000
Monte San Giovanni C.,FR,41.640620,13.513704
Monte San Giovanni in Sabina,RI,42.328500,12.777400
Montebuono,RI,42.367700,12.597210
Monteleone Sabino,RI,42.233333,12.850000
Montenero Sabino,RI,42.283333,12.816667
Montopoli di Sabina,RI,42.250000,12.683333
Morolo,FR,41.633333,13.200000
Morro Reatino,RI,42.533333,12.833333
Nespolo,RI,42.150000,13.066667
Norma,LT,41.583333,12.966667
Orvinio,RI,42.133333,12.933333
Paganico Sabino,RI,42.190556,12.997778
Paliano,FR,41.800000,13.050000
Pastena,FR,41.468056,13.491111
Patrica,FR,41.583333,13.250000
Pescorocchiano,RI,42.206632,13.147846
Pescosolido,FR,41.749167,13.657500
Petrella Salto,RI,42.300000,13.066667
Picinisco,FR,41.650000,13.866667
Pico,FR,41.451389,13.561667
Piedimonte San Germano,FR,41.500000,13.733333
Piglio,FR,41.828056,13.141667
Pignataro Interamna,FR,41.433333,13.783333
Pofi,FR,41.566667,13.416667
Poggio Bustone,RI,42.500000,12.883333
Poggio Catino,RI,42.300000,12.700000
Poggio Mirteto,RI,42.267222,12.688611
Poggio Moiano,RI,42.200000,12.883333
Poggio Nativo,RI,42.216667,12.800000
Poggio San Lorenzo,RI,42.250000,12.850000
Pontecorvo,FR,41.462600,13.667600
Pontinia,LT,41.408300,13.044340
Ponza,LT,40.900000,12.966667
Posta,RI,42.516667,13.100000
Posta Fibreno,FR,41.700000,13.700000
Pozzaglia Sabina,RI,42.166667,12.966667
Priverno,LT,41.466667,13.183333
Prossedi,LT,41.516667,13.266667
Rieti,RI,42.404430,12.856702
Ripi,FR,41.616667,13.433333
Rivodutri,RI,42.516667,12.850000
