name,province,latitude,longitude
Acquasparta,TR,42.690386,12.546223
Allerona,TR,42.811518,11.973800
Alviano,TR,42.587900,12.295587
Amelia,TR,42.558862,12.411985
Arrone,TR,42.582836,12.769158
Assisi,PG,43.070812,12.614998
Attigliano,TR,42.514919,12.289395
Avigliano Umbro,TR,42.655409,12.428481
Baschi,TR,42.670228,12.216255
Bastia Umbra,PG,43.066688,12.548900
Bettona,PG,43.013572,12.484562
Bevagna,PG,42.933878,12.609063
Calvi dell'Umbria,TR,42.401432,12.567585
Campello sul Clitunno,PG,42.820073,12.776922
Cannara,PG,42.995097,12.582716
Cascia,PG,42.718266,13.013566
Castel Giorgio,TR,42.707813,11.979594
Castel Ritaldi,PG,42.823033,12.672453
Castel Viscardo,TR,42.755522,12.001580
Castiglione del Lago,PG,43.127640,12.053462
Cerreto di Spoleto,PG,42.821024,12.917266
Citerna,PG,43.498136,12.116458
Città della Pieve,PG,42.952150,12.002532
Città di Castello,PG,43.457051,12.238213
Collazzone,PG,42.899572,12.435981
Corciano,PG,43.128380,12.286218
Costacciaro,PG,43.358956,12.711940
Deruta,PG,42.982129,12.419753
Fabro,TR,42.863352,12.012974
Ferentillo,TR,42.620559,12.790071
Ficulle,TR,42.836078,12.066224
Foligno,PG,42.955761,12.703281
Fossato di Vico,PG,43.294700,12.761318
Fratta Todina,PG,42.857553,12.366562
Giano dell'Umbria,PG,42.833729,12.578094
Giove,TR,42.509292,12.325257
Gualdo Cattaneo,PG,42.909208,12.556146
Gualdo Tadino,PG,43.230929,12.784801
Guardea,TR,42.623587,12.297160
Gubbio,PG,43.353007,12.579288
Lisciano Niccone,PG,43.246567,12.143273
Lugnano in Teverina,TR,42.574317,12.330548
Magione,PG,43.142764,12.205273
Marsciano,PG,42.910771,12.337361
Massa Martana,PG,42.775593,12.523252
Monte Castello di Vibio,PG,42.840381,12.352314
Monte Santa Maria T.,PG,43.437781,12.162543
Montecastrilli,TR,42.649841,12.487840
Montecchio,TR,42.662391,12.287062
Montefalco,PG,42.893762,12.652382
Montefranco,TR,42.597074,12.766300
Montegabbione,TR,42.921614,12.092701
Monteleone d'Orvieto,TR,42.916446,12.051389
Monteleone di Spoleto,PG,42.651593,12.951839
Montone,PG,43.363941,12.326923
Narni,TR,42.519298,12.515138
Nocera Umbra,PG,43.111284,12.790092
Norcia,PG,42.792599,13.093177
Orvieto,TR,42.718200,12.108269
Otricoli,TR,42.423233,12.478282
Paciano,PG,43.022343,12.070797
Panicale,PG,43.029406,12.100035
Parrano,TR,42.863935,12.106552
Passignano sul T.,PG,43.184742,12.136838
Penna in Teverina,TR,42.492411,12.355458
Perugia,PG,43.111918,12.388548
Piegaro,PG,42.970565,12.086041
Pietralunga,PG,43.442293,12.436764
Poggiodomo,PG,42.711714,12.934768
Polino,TR,42.584883,12.843929
Porano,TR,42.687241,12.102129
Preci,PG,42.879009,13.038986
San Gemini,TR,42.613417,12.546393
San Giustino,PG,43.548452,12.176529
San Venanzo,TR,42.869146,12.266493
Sant'Anatolia di Narco,PG,42.732987,12.835709
Scheggia e Pascelupo,PG,43.403642,12.668168
Scheggino,PG,42.712529,12.831070
Sellano,PG,42.888964,12.927178
Sigillo,PG,43.331579,12.740931
Spello,PG,42.992112,12.671063
Spoleto,PG,42.734410,12.738462
Stroncone,TR,42.498245,12.662738
Terni,TR,42.560771,12.646782
Todi,PG,42.782004,12.406926
Torgiano,PG,43.025631,12.433977
Trevi,PG,42.877453,12.747751
Tuoro sul Trasimeno,PG,43.208779,12.071635
Umbertide,PG,43.306594,12.326957
Valfabbrica,PG,43.159424,12.601623
Vallo di Nera,PG,42.769719,12.862349
Valtopina,PG,43.058960,12.754583
