name,province,latitude,longitude
Acate,RG,37.025286,14.492464
Aci Bonaccorsi,CT,37.595519,15.109514
Aci Castello,CT,37.555278,15.145278
Aci Catena,CT,37.601667,15.141944
Aci Sant'Antonio,CT,37.605893,15.126048
Acireale,CT,37.612500,15.165556
Acquaviva Platani,CL,37.566667,13.700000
Adrano,CT,37.662500,14.835556
Agrigento,AG,37.312500,13.575000
Alcamo,TP,37.966667,12.966667
Alessandria della Rocca,AG,37.569600,13.453464
Aragona,AG,37.407383,13.618944
Augusta,SR,37.230278,15.219444
Avola,SR,36.916667,15.133333
Belpasso,CT,37.586111,14.977222
Biancavilla,CT,37.645278,14.863611
Bivona,AG,37.618347,13.440508
Bompensiere,CL,37.466667,13.783333
Bronte,CT,37.800000,14.833333
Buccheri,SR,37.125000,14.851944
Burgio,AG,37.598533,13.290775
Buscemi,SR,37.083333,14.866667
Buseto Palizzolo,TP,38.016667,12.733333
Butera,CL,37.183333,14.183333
Calamonaci,AG,37.526150,13.289350
Calatabiano,CT,37.822778,15.227778
Calatafimi-Segesta,TP,37.913638,12.861893
Caltabellotta,AG,37.575739,13.218608
Caltagirone,CT,37.233333,14.516667
Caltanissetta,CL,37.491472,14.062444
Camastra,AG,37.253611,13.795556
Cammarata,AG,37.631111,13.632222
Campobello di Licata,AG,37.259444,13.919167
Campobello di Mazara,TP,37.633333,12.750000
Campofranco,CL,37.516667,13.700000
Camporotondo Etneo,CT,37.567550,15.005130
Canicattì,AG,37.360000,13.851111
Canicattini Bagni,SR,37.033333,15.066667
Carlentini,SR,37.275778,15.014472
Cassaro,SR,37.100000,14.950000
Castel di Iudica,CT,37.500000,14.650000
Castellammare del Golfo,TP,38.026389,12.880556
Casteltermini,AG,37.541667,13.645278
Castelvetrano,TP,37.678611,12.791667
Castiglione di Sicilia,CT,37.882778,15.122500
Castrofilippo,AG,37.350000,13.751111
Catania,CT,37.502669,15.087269
Cattolica Eraclea,AG,37.441944,13.392778
Chiaramonte Gulfi,RG,37.033333,14.700000
Cianciana,AG,37.521389,13.434444
Comiso,RG,36.950000,14.600000
Comitini,AG,37.408889,13.643889
Custonaci,TP,38.078828,12.675125
Delia,CL,37.350000,13.933333
Erice,TP,38.037500,12.587500
Favara,AG,37.318611,13.663056
Favignana,TP,37.933333,12.333333
Ferla,SR,37.116667,14.950000
Fiumefreddo di Sicilia,CT,37.791460,15.209190
Floridia,SR,37.083333,15.150000
Francofonte,SR,37.233333,14.883333
Gela,CL,37.066667,14.250000
Giarratana,RG,37.050000,14.800000
Giarre,CT,37.726389,15.187500
Gibellina,TP,37.806460,12.870900
Grammichele,CT,37.216667,14.633333
Gravina di Catania,CT,37.560850,15.062920
Grotte,AG,37.405833,13.701111
Ispica,RG,36.785278,14.906944
Joppolo Giancaxio,AG,37.388056,13.556111
Lampedusa e Linosa,AG,35.503526,12.606689
Lentini,SR,37.283333,15.000000
Licata,AG,37.108333,13.946944
Licodia Eubea,CT,37.150000,14.700000
Linguaglossa,CT,37.842778,15.141944
Lucca Sicula,AG,37.580556,13.307778
Maletto,CT,37.833333,14.866667
Maniace,CT,37.866667,14.800000
Marianopoli,CL,37.600000,13.916667
Marsala,TP,37.798056,12.434167
Mascali,CT,37.757778,15.195833
Mascalucia,CT,37.573668,15.051760
Mazara del Vallo,TP,37.651661,12.587510
Mazzarino,CL,37.300000,14.200000
Mazzarrone,CT,37.083333,14.566667
Melilli,SR,37.183333,15.116667
Menfi,AG,37.607778,12.968611
Milena,CL,37.466667,13.733333
Militello in Val di C.,CT,37.276953,14.783380
Milo,CT,37.723260,15.115589
Mineo,CT,37.266358,14.691061
