name,province,latitude,longitude
Abbasanta,OR,40.125833,8.819444
Aidomaggiore,OR,40.171944,8.856944
Albagiara,OR,39.787203,8.861761
Ales,OR,39.766667,8.816667
Alghero,SS,40.560000,8.315000
Allai,OR,39.956999,8.863950
Anela,SS,40.444444,9.058056
Arborea,OR,39.772760,8.581290
Arbus,SU,39.527150,8.599248
Ardara,SS,40.622222,8.810000
Ardauli,OR,40.084722,8.912778
Armungia,CA,39.521853,9.381208
Arzana,NU,39.917768,9.528751
Assemini,CA,39.289671,9.004841
Assolo,OR,39.809591,8.919010
Asuni,OR,39.871804,8.946476
Ballao,CA,39.549026,9.362755
Banari,SS,40.570969,8.699026
Baradili,OR,39.722167,8.897639
Baratili San Pietro,OR,39.992778,8.555556
Baressa,OR,39.713311,8.875215
Bari Sardo,NU,39.841363,9.647198
Barrali,CA,39.476519,9.100177
Barumini,SU,39.703753,9.003639
Bauladu,OR,40.020417,8.671861
Baunei,NU,40.030933,9.664321
Benetutti,SS,40.456532,9.168284
Bessude,SS,40.553086,8.729796
Bidonì,OR,40.112778,8.936389
Bonarcado,OR,40.100000,8.650000
Bonnanaro,SS,40.533470,8.762112
Bono,SS,40.415278,9.028611
Bonorva,SS,40.416667,8.766667
Boroneddu,OR,40.112500,8.870556
Borutta,SS,40.522222,8.743611
Bosa,OR,40.298958,8.497792
Bottidda,SS,40.392222,9.008889
Buggerru,SU,39.397500,8.402500
Bultei,SS,40.457500,9.061111
Bulzi,SS,40.846944,8.830278
Burcei,CA,39.344470,9.359922
Burgos,SS,40.391389,8.994444
Busachi,OR,40.033333,8.900000
Cabras,OR,39.930556,8.530278
Cagliari,CA,39.216667,9.116667
Calasetta,SU,39.110516,8.368230
Capoterra,CA,39.175187,8.970852
Carbonia,SU,39.166803,8.521957
Cardedu,NU,39.796535,9.626770
Cargeghe,SS,40.668889,8.614722
Carloforte,SU,39.145006,8.305449
Castelsardo,SS,40.914444,8.712778
Castiadas,CA,39.236358,9.499172
Cheremule,SS,40.505556,8.724722
Chiaramonti,SS,40.749444,8.818611
Codrongianos,SS,40.657500,8.681389
Collinas,SU,39.640463,8.840046
Cossoine,SS,40.430420,8.715506
Cuglieri,OR,40.188889,8.567222
Curcuris,OR,39.746662,8.830819
Decimomannu,CA,39.311191,8.970337
Decimoputzu,CA,39.335360,8.914890
Dolianova,CA,39.378497,9.178391
Domus de Maria,CA,38.943556,8.862877
Domusnovas,SU,39.321111,8.653056
Donori,CA,39.431718,9.126677
Elini,NU,39.899498,9.530726
Elmas,CA,39.267879,9.049988
Erula,SS,40.792239,8.943815
Escalaplano,CA,39.624730,9.351940
Escolca,CA,39.698767,9.122214
Esporlatu,SS,40.385556,8.990000
Esterzili,CA,39.780278,9.285556
Florinas,SS,40.650000,8.666667
Fluminimaggiore,SU,39.438579,8.498612
Flussio,OR,40.267116,8.539209
Fordongianus,OR,39.994876,8.809490
Furtei,SU,39.562427,8.947678
Gairo,NU,39.846462,9.506671
Genoni,CA,39.793897,9.006987
Genuri,SU,39.744088,8.923731
Gergei,CA,39.699345,9.100703
Gesico,CA,39.615574,9.107451
Gesturi,SU,39.733132,9.020333
Ghilarza,OR,40.120000,8.835000
Giave,SS,40.451944,8.752222
Giba,SU,39.072112,8.635554
Girasole,NU,39.952050,9.660980
Goni,CA,39.578537,9.285421
Gonnesa,SU,39.266484,8.471746
Gonnoscodina,OR,39.698602,8.835068
Gonnosfanadiga,SU,39.493311,8.662891
Gonnosnò,OR,39.760552,8.872404
Gonnostramatza,OR,39.681694,8.832836
Guamaggiore,CA,39.568448,9.074192
Guasila,CA,39.560177,9.044666
Guspini,SU,39.539959,8.626671
Iglesias,SU,39.310261,8.537235
Ilbono,NU,39.892221,9.546604
Illorai,SS,40.353611,8.999722
Isili,CA,39.741500,9.109722
Ittireddu,SS,40.544363,8.902144
Ittiri,SS,40.590753,8.569508
Jerzu,NU,39.792413,9.517679
Laconi,OR,39.852698,9.052048
Laerru,SS,40.817222,8.835278
Lanusei,NU,39.878679,9.541454
Las Plassas,SU,39.680042,8.985110
Loceri,NU,39.857574,9.582996
Lotzorai,NU,39.969622,9.662948
Lunamatrona,SU,39.646940,8.900299
Magomadas,OR,40.265497,8.520777
Mandas,CA,39.655399,9.129810
Mara,SS,40.409902,8.636971
Maracalagonis,CA,39.286217,9.228859
Marrubiu,OR,39.751018,8.638344
Martis,SS,40.778333,8.808611
Masainas,SU,39.046519,8.631413
Masullas,OR,39.700055,8.784256
Milis,OR,40.051389,8.638056
Modolo,OR,40.275350,8.530020
Mogorella,OR,39.864694,8.858667
Mogoro,OR,39.684997,8.777046
Monastir,CA,39.384468,9.044495
Monserrato,CA,39.256848,9.138737
Monteleone Rocca Doria,SS,40.471667,8.560556
Montresta,OR,40.374242,8.499641
Mores,SS,40.548056,8.832778
Morgongiori,OR,39.746068,8.770459
Muravera,CA,39.419619,9.576302
Muros,SS,40.678611,8.617500
Musei,SU,39.302026,8.667526
Narbolia,OR,40.048056,8.576389
Narcao,SU,39.166667,8.683333
Neoneli,OR,40.065278,8.946944
Norbello,OR,40.135382,8.832664
Nughedu San Nicolò,SS,40.556167,9.021320
Nughedu Santa Vittoria,OR,40.101111,8.951389
Nule,SS,40.461667,9.189167
Nulvi,SS,40.783889,8.743889
Nurachi,OR,39.974444,8.539167
Nuragus,CA,39.777433,9.036706
Nurallao,CA,39.791028,9.080286
Nuraminis,CA,39.442291,9.013252
Nureci,OR,39.823287,8.974736
Nurri,CA,39.711281,9.230404
Nuxis,SU,39.154025,8.739624
Ollastra,OR,39.951389,8.734722
Olmedo,SS,40.651111,8.379722
Oristano,OR,39.905819,8.591609
Orroli,CA,39.692262,9.250317
Ortacesus,CA,39.538469,9.084148
Osilo,SS,40.743611,8.671111
Osini,NU,39.822447,9.496694
Ossi,SS,40.674682,8.592167
Ozieri,SS,40.584871,9.003285
Pabillonis,SU,39.592369,8.721722
Padria,SS,40.395457,8.630147
Palmas Arborea,OR,39.876546,8.644009
Pattada,SS,40.582222,9.110000
Pau,OR,39.791655,8.801680
Pauli Arbarei,SU,39.660982,8.921843
Paulilatino,OR,40.083333,8.766667
Perdasdefogu,NU,39.679976,9.440174
Perdaxius,SU,39.161080,8.612380
Perfugas,SS,40.832222,8.884444
Pimentel,CA,39.486555,9.065609
Piscinas,SU,39.074461,8.666046
Ploaghe,SS,40.664444,8.745278
Pompu,OR,39.724798,8.796197
Porto Torres,SS,40.836944,8.401389
Portoscuso,SU,39.204857,8.380508
Pozzomaggiore,SS,40.397810,8.659802
Pula,CA,39.009447,9.000549
Putifigari,SS,40.561515,8.460202
Quartu Sant'Elena,CA,39.241350,9.183920
Quartucciu,CA,39.252860,9.176159
Riola Sardo,OR,39.993889,8.541667
Romana,SS,40.484037,8.586159
Ruinas,OR,39.906310,8.897050
Sadali,CA,39.813679,9.273834
Sagama,OR,40.261221,8.577619
Samassi,SU,39.481521,8.905277
Samatzai,CA,39.481123,9.036856
Samugheo,OR,39.947615,8.940768
San Basilio,CA,39.537850,9.197530
San Gavino Monreale,SU,39.549853,8.791637
San Giovanni Suergiu,SU,39.110949,8.522515
San Nicolò d'Arcidano,OR,39.683543,8.646584
San Nicolò Gerrei,CA,39.497252,9.305849
San Sperate,CA,39.357529,9.008274
San Vero Milis,OR,40.013056,8.598611
San Vito,CA,39.441894,9.540424
Sanluri,SU,39.561103,8.899956
Sant'Andrea Frius,CA,39.478274,9.169464
Sant'Anna Arresi,SU,39.003844,8.643494
Sant'Antioco,SU,39.066370,8.454480
Santa Giusta,OR,39.880700,8.609160
Santa Maria Coghinas,SS,40.903889,8.868333
Santadi,SU,39.093698,8.714905
Santu Lussurgiu,OR,40.141944,8.651944
Sardara,SU,39.613888,8.821506
Sarroch,CA,39.065848,9.010162
Sassari,SS,40.726667,8.559167
Scano di Montiferro,OR,40.215128,8.587317
Sedilo,OR,40.174167,8.919167
Sedini,SS,40.852222,8.816389
Segariu,SU,39.562956,8.982868
Selargius,CA,39.253658,9.160624
Selegas,CA,39.567323,9.104061
Semestene,SS,40.398660,8.725419
Seneghe,OR,40.080278,8.613056
Senis,OR,39.823567,8.938751
Sennariolo,OR,40.212244,8.556418
Sennori,SS,40.789916,8.595192
Senorbì,CA,39.533968,9.131012
Serdiana,CA,39.374483,9.158993
Serramanna,SU,39.422778,8.921667
Serrenti,SU,39.492517,8.976517
Serri,CA,39.701409,9.144702
Sestu,CA,39.299436,9.091830
Settimo San Pietro,CA,39.291000,9.185257
Setzu,SU,39.722500,8.938417
Seui,NU,39.838595,9.324303
Seulo,SU,39.869630,9.236755
Siamaggiore,OR,39.949556,8.634267
Siamanna,OR,39.919348,8.762498
Siapiccia,OR,39.927444,8.762283
Siddi,SU,39.672778,8.888278
Siligo,SS,40.575250,8.727389
Siliqua,CA,39.301096,8.807945
Silius,CA,39.516887,9.293833
Simala,OR,39.720854,8.828115
Simaxis,OR,39.930230,8.693230
Sini,OR,39.753954,8.906136
Sinnai,CA,39.302557,9.203110
Siris,OR,39.712370,8.774643
Siurgus Donigala,CA,39.600001,9.187832
Soddì,OR,40.129722,8.878056
Solarussa,OR,39.954444,8.671667
Soleminis,CA,39.347208,9.181352
Sorradile,OR,40.105556,8.932778
Sorso,SS,40.798333,8.577222
Stintino,SS,40.937799,8.227644
Suelli,CA,39.561633,9.131870
Suni,OR,40.280835,8.550196
Tadasuni,OR,40.110278,8.883611
Talana,NU,40.042466,9.496822
Tergu,SS,40.864722,8.712500
Terralba,OR,39.719731,8.636284
Tertenia,NU,39.696357,9.578876
Teulada,SU,38.967951,8.772326
Thiesi,SS,40.525000,8.716389
Tinnura,OR,40.269064,8.548179
Tissi,SS,40.677778,8.562500
Torralba,SS,40.513473,8.764858
TORTOLì,NU,39.933333,9.650000
Tramatza,OR,40.002931,8.649502
Tratalias,SU,39.102624,8.579121
Tresnuraghes,OR,40.252886,8.520756
Triei,NU,40.036026,9.640675
Tuili,SU,39.714747,8.959823
Tula,SS,40.732500,8.984722
Turri,SU,39.704710,8.916349
Ulà Tirso,OR,40.045226,8.903604
Ulassai,NU,39.811701,9.498968
Uras,OR,39.698206,8.701515
Uri,SS,40.638889,8.488056
Urzulei,NU,40.092945,9.507594
Usellus,OR,39.807613,8.852405
Usini,SS,40.663333,8.540833
Ussana,CA,39.393755,9.074707
Ussaramanna,SU,39.691767,8.908625
Ussassai,NU,39.810118,9.394856
Uta,CA,39.288343,8.957634
Valledoria,SS,40.928170,8.824596
Vallermosa,CA,39.363435,8.796272
Viddalba,SS,40.916026,8.894699
Villa San Pietro,CA,39.035540,8.996950
Villa Sant'Antonio,OR,39.858858,8.901415
Villa Verde,OR,39.795678,8.820219
Villacidro,SU,39.457800,8.742371
Villagrande Strisaili,NU,39.958537,9.507980
Villamar,SU,39.619970,8.960037
Villamassargia,SU,39.275720,8.640575
Villanova Monteleone,SS,40.503611,8.470556
Villanova Truschedu,OR,39.988432,8.752027
Villanova Tulo,CA,39.780277,9.213281
Villanovaforru,SU,39.632267,8.869057
Villanovafranca,SU,39.643900,9.003296
Villaperuccio,SU,39.111798,8.670251
Villaputzu,CA,39.439167,9.576111
Villasalto,CA,39.493411,9.390049
Villasimius,CA,39.142222,9.520556
Villasor,CA,39.380885,8.941326
Villaspeciosa,CA,39.311457,8.926563
Villaurbana,OR,39.885372,8.778591
Zeddiani,OR,39.989444,8.595556
Zerfaliu,OR,39.960000,8.710000
