name,province,latitude,longitude
Agazzano,PC,44.950000,9.516667
Albareto,PR,44.446920,9.702280
Albinea,RE,44.616667,10.600000
Alfonsine,RA,44.506111,12.041111
Alseno,PC,44.900000,9.966667
Alta Val Tidone,PC,44.905000,9.326389
Alto Reno Terme,BO,44.123913,10.937216
Anzola dell'Emilia,BO,44.547222,11.195556
Argelato,BO,44.642500,11.348611
Argenta,FE,44.614850,11.836810
Bagnacavallo,RA,44.416862,11.976063
Bagnara di Romagna,RA,44.383333,11.833333
Bagno di Romagna,FC,43.835227,11.959599
Bagnolo in Piano,RE,44.766667,10.683333
Baiso,RE,44.501944,10.604722
Bardi,PR,44.633611,9.731111
Baricella,BO,44.647500,11.535278
Bastiglia,MO,44.726970,10.998600
Bedonia,PR,44.500000,9.633333
Bellaria-Igea Marina,RN,44.150000,12.450000
Bentivoglio,BO,44.635278,11.418889
Berceto,PR,44.510608,9.989655
Bertinoro,FC,44.150000,12.133333
Besenzone,PC,44.983333,9.950000
Bettola,PC,44.778260,9.608570
Bibbiano,RE,44.662920,10.473910
Bobbio,PC,44.771500,9.386400
Bologna,BO,44.493800,11.342600
Bomporto,MO,44.733333,11.033333
Bondeno,FE,44.889440,11.415420
Bore,PR,44.717694,9.791778
Boretto,RE,44.900000,10.550000
Borghi,FC,44.032230,12.356180
Borgo Tossignano,BO,44.283333,11.583333
Borgo Val di Taro,PR,44.488028,9.767278
Borgonovo Val Tidone,PC,45.016667,9.450000
Brescello,RE,44.900000,10.516667
Brisighella,RA,44.216667,11.766667
Budrio,BO,44.537450,11.534390
Busseto,PR,44.980833,10.042500
Cadelbosco di Sopra,RE,44.766667,10.600000
Cadeo,PC,44.966667,9.833333
Calderara di Reno,BO,44.563889,11.271944
Calendasco,PC,45.083333,9.600000
Calestano,PR,44.600556,10.122028
Campagnola Emilia,RE,44.836111,10.754722
Campegine,RE,44.784444,10.532778
Campogalliano,MO,44.690376,10.838897
Camposanto,MO,44.798917,11.154436
Camugnano,BO,44.166667,11.100000
Canossa,RE,44.573555,10.455307
Caorso,PC,45.050000,9.866667
Carpaneto Piacentino,PC,44.916667,9.783333
Carpi,MO,44.783570,10.885452
Carpineti,RE,44.456667,10.520556
Casalecchio di Reno,BO,44.483333,11.283333
Casalfiumanese,BO,44.291261,11.535725
Casalgrande,RE,44.589750,10.739420
Casina,RE,44.511111,10.502500
Casola Valsenio,RA,44.216667,11.616667
Castel Bolognese,RA,44.316667,11.800000
Castel d'Aiano,BO,44.276667,11.000278
Castel del Rio,BO,44.213889,11.504167
Castel di Casio,BO,44.166667,11.033333
Castel Guelfo di B.,BO,44.431140,11.677409
Castel Maggiore,BO,44.577778,11.361667
Castel San Giovanni,PC,45.059067,9.434178
Castel San Pietro Terme,BO,44.397778,11.589444
Casteldelci,RN,43.791269,12.155181
Castelfranco Emilia,MO,44.596667,11.052778
Castell'Arquato,PC,44.850000,9.866667
Castellarano,RE,44.513889,10.733889
Castello d'Argile,BO,44.681111,11.296667
Castelnovo di Sotto,RE,44.816667,10.566667
Castelnovo ne' Monti,RE,44.433333,10.400000
Castelnuovo Rangone,MO,44.551944,10.935833
Castelvetro di Modena,MO,44.506667,10.947222
Castelvetro Piacentino,PC,45.100335,9.986716
Castenaso,BO,44.509722,11.470556
Castiglione dei Pepoli,BO,44.150000,11.150000
Castrocaro Terme e Terra del Sole,FC,44.182400,11.955600
Cattolica,RN,43.958444,12.738611
Cavezzo,MO,44.837030,11.030710
Cavriago,RE,44.695640,10.527370
Cento,FE,44.733333,11.283333
Cerignale,PC,44.683333,9.350000
Cervia,RA,44.250000,12.366667
Cese,FC,42.374890,13.281221
Cesenatico,FC,44.201190,12.400689
Civitella di Romagna,FC,44.000000,11.933333
Codigoro,FE,44.833333,12.116667
Coli,PC,44.750000,9.416667
Collecchio,PR,44.752694,10.215694
Colorno,PR,44.930000,10.375833
Comacchio,FE,44.700000,12.183333
Compiano,PR,44.495444,9.662583
Concordia sulla Secchia,MO,44.912380,10.982560
Conselice,RA,44.516667,11.833333
Copparo,FE,44.900000,11.833333
Coriano,RN,43.969060,12.600550
Corniglio,PR,44.483333,10.083333
Correggio,RE,44.771667,10.780556
Corte Brugnatella,PC,44.715767,9.360289
Cortemaggiore,PC,45.000000,9.933333
Cotignola,RA,44.383333,11.933333
Crevalcore,BO,44.716667,11.150000
Dovadola,FC,44.116667,11.883333
Dozza,BO,44.358987,11.627690
Fabbrico,RE,44.866667,10.800000
Faenza,RA,44.285556,11.883333
Fanano,MO,44.212450,10.796600
Farini,PC,44.716667,9.566667
Felino,PR,44.695333,10.241556
Ferra,FE,42.909251,13.347194
Ferriere,PC,44.643850,9.496570
Fidenza,PR,44.866361,10.061111
Finale Emilia,MO,44.831850,11.295740
Fiorano Modenese,MO,44.539190,10.811730
