name,province,latitude,longitude
Airole,IM,43.871883,7.553378
Ameglia,SP,44.067264,9.957542
Apricale,IM,43.880533,7.660483
Aquila d'Arroscia,IM,44.083544,8.005428
Arcola,SP,44.114553,9.905864
Arenzano,GE,44.403528,8.682711
Armo,IM,44.087965,7.914783
Aurigo,IM,43.982817,7.922831
Avegno,GE,44.382333,9.158647
Badalucco,IM,43.915697,7.846997
Bajardo,IM,43.903492,7.718408
Bargagli,GE,44.444483,9.088572
Beverino,SP,44.195925,9.768694
Bogliasco,GE,44.378242,9.069789
Bolano,SP,44.189097,9.895361
Bonassola,SP,44.183436,9.584092
Bordighera,IM,43.778897,7.672128
Borghetto d'Arroscia,IM,44.057381,7.981753
Borghetto di Vara,SP,44.223756,9.721406
Borgomaro,IM,43.975525,7.944803
Borzonasca,GE,44.422131,9.387064
Brugnato,SP,44.236675,9.725239
Busalla,GE,44.571044,8.945344
Calice al Cornoviglio,SP,44.243056,9.836389
Camogli,GE,44.348397,9.155758
Campo Ligure,GE,44.538089,8.697792
Campomorone,GE,44.506886,8.891800
Camporosso,IM,43.815128,7.628433
Carasco,GE,44.351717,9.344122
Caravonica,IM,43.992336,7.958725
Carro,SP,44.266667,9.600000
Carrodano,SP,44.241847,9.656175
Casarza Ligure,GE,44.274722,9.453417
Casella,GE,44.534764,8.998856
Castel Vittorio,IM,43.927856,7.674264
Castellaro,IM,43.864360,7.868810
Castelnuovo Magra,SP,44.099367,10.017786
Castiglione Chiavarese,GE,44.274514,9.513636
Ceranesi,GE,44.508353,8.883961
Ceriana,IM,43.879061,7.774600
Cervo,IM,43.925289,8.114342
Cesio,IM,44.007953,7.975469
Chiavari,GE,44.316411,9.323736
Chiusanico,IM,43.971158,7.993275
Chiusavecchia,IM,43.967808,7.983375
Cicagna,GE,44.408539,9.236333
Cipressa,IM,43.851433,7.930547
Civezza,IM,43.879306,7.951250
Cogoleto,GE,44.389567,8.646183
Cogorno,GE,44.333081,9.372461
Coreglia Ligure,GE,44.391878,9.267506
Cosio d'Arroscia,IM,44.077123,7.833008
Costarainera,IM,43.854575,7.940761
Crocefieschi,GE,44.584631,9.023467
Davagna,GE,44.466936,9.089864
Deiva Marina,SP,44.216667,9.516667
Diano Arentino,IM,43.948631,8.042253
Diano Castello,IM,43.924042,8.066950
Diano Marina,IM,43.909931,8.082025
Diano San Pietro,IM,43.930950,8.068692
Dolceacqua,IM,43.847978,7.623817
Dolcedo,IM,43.906889,7.951608
Fascia,GE,44.565900,9.237600
Favale di Malvaro,GE,44.451997,9.257908
Follo,SP,44.160420,9.864885
Fontanigorda,GE,44.546572,9.304744
Framura,SP,44.208661,9.554422
Genova,GE,44.407186,8.933983
Gorreto,GE,44.606067,9.292433
Imperia,IM,43.886467,8.029653
Isola del Cantone,GE,44.646142,8.956861
Isolabona,IM,43.879444,7.638897
la Spezia,SP,44.108044,9.828881
Lavagna,GE,44.312154,9.341706
Leivi,GE,44.345708,9.319011
Lerici,SP,44.076261,9.911100
Levanto,SP,44.169683,9.612233
Lorsica,GE,44.429514,9.267861
Lucinasco,IM,43.967708,7.962811
Lumarzo,GE,44.443528,9.137239
Luni,SP,44.077827,10.030189
Maissana,SP,44.336283,9.534386
Masone,GE,44.503564,8.711953
Mele,GE,44.445497,8.747942
Mendatica,IM,44.076350,7.805692
Mezzanego,GE,44.383692,9.377289
Mignanego,GE,44.527825,8.915186
Moconesi,GE,44.437600,9.214708
Molini di Triora,IM,43.990314,7.774642
Moneglia,GE,44.238619,9.490275
Montalto Carpasio,IM,43.927778,7.844444
Montebruno,GE,44.525975,9.249014
Montegrosso Pian Latte,IM,44.066647,7.817783
Monterosso al Mare,SP,44.146286,9.655550
Montoggio,GE,44.515139,9.043608
Ne,GE,44.344519,9.398547
Neirone,GE,44.454294,9.190856
Olivetta San Michele,IM,43.879728,7.515558
Orero,GE,44.406842,9.274150
Ospedaletti,IM,43.800589,7.717694
Perinaldo,IM,43.866931,7.674350
Pietrabruna,IM,43.889814,7.903283
Pieve di Teco,IM,44.048000,7.916000
Pieve Ligure,GE,44.374808,9.086597
Pigna,IM,43.932539,7.663750
Pignone,SP,44.179014,9.724114
Pompeiana,IM,43.853325,7.888636
Pontedassio,IM,43.940281,8.012300
Pornassio,IM,44.069894,7.869408
Portofino,GE,44.304242,9.207161
Portovenere,SP,44.050000,9.833333
Prelà,IM,43.923817,7.909297
Propata,GE,44.564703,9.184881
Ranzo,IM,44.059419,8.014611
Rapallo,GE,44.350000,9.233333
Recco,GE,44.362089,9.143475
Rezzo,IM,44.021425,7.871445
Rezzoaglio,GE,44.526261,9.386653
Riccò del Golfo di S.,SP,44.154410,9.757568
Riomaggiore,SP,44.099286,9.737450
Riva Ligure,IM,43.837478,7.881881
Rocchetta di Vara,SP,44.251025,9.757200
Rocchetta Nervina,IM,43.889997,7.600203
Ronco Scrivia,GE,44.608206,8.955167
Rondanina,GE,44.562397,9.217739
Rossiglione,GE,44.566667,8.666667
Rovegno,GE,44.575872,9.278839
San Bartolomeo al Mare,IM,43.927822,8.102239
San Biagio della Cima,IM,43.818594,7.649653
San Colombano Certenoli,GE,44.371758,9.311625
San Lorenzo al Mare,IM,43.853375,7.963806
Sanremo,IM,43.817500,7.775000
Sant'Olcese,GE,44.490864,8.970539
Santa Margherita Ligure,GE,44.334933,9.210122
Santo Stefano al Mare,IM,43.837233,7.899311
Santo Stefano d'Aveto,GE,44.547717,9.450733
Santo Stefano di Magra,SP,44.162481,9.915133
Sarzana,SP,44.113608,9.959958
Savignone,GE,44.563928,8.988647
Seborga,IM,43.826044,7.693839
Serra Riccò,GE,44.507758,8.935950
Sesta Godano,SP,44.293733,9.675428
Sestri Levante,GE,44.273333,9.393239
Soldano,IM,43.828394,7.655425
Sori,GE,44.372686,9.104233
Taggia,IM,43.869607,7.836458
Terzorio,IM,43.852903,7.898103
Tiglieto,GE,44.524964,8.619811
Torriglia,GE,44.518733,9.157978
Tribogna,GE,44.416364,9.195906
Triora,IM,44.000000,7.766667
Uscio,GE,44.413203,9.162958
Valbrevenna,GE,44.560577,9.091603
Vallebona,IM,43.814011,7.666594
Vallecrosia,IM,43.793092,7.643872
Varese Ligure,SP,44.378128,9.595825
Vasia,IM,43.933231,7.954342
Ventimiglia,IM,43.790278,7.608333
Vernazza,SP,44.135161,9.683853
Vessalico,IM,44.046317,7.962064
Vezzano Ligure,SP,44.141186,9.884922
Villa Faraldi,IM,43.967108,8.091508
Vobbia,GE,44.599378,9.040028
Zignago,SP,44.277611,9.744633
Zoagli,GE,44.336969,9.267092
