name,province,latitude,longitude
Acceglio,CN,44.483333,6.983333
Acqui Terme,AL,44.676111,8.468611
Agliano Terme,AT,44.791111,8.251389
Agliè,TO,45.367055,7.766918
Agrate Conturbia,NO,45.676389,8.552222
Ailoche,BI,45.699500,8.222100
Airasca,TO,44.917042,7.484321
Aisone,CN,44.316667,7.216667
Ala di Stura,TO,45.315150,7.305909
Alagna Valsesia,VC,45.853889,7.937222
Alba,CN,44.691542,8.025636
Albano Vercellese,VC,45.433333,8.383333
Albaretto della Torre,CN,44.600000,8.066667
Albera Ligure,AL,44.703333,9.067222
Albiano d'Ivrea,TO,45.432959,7.950621
Albugnano,AT,45.078611,7.972222
Alessandria,AL,44.913331,8.620000
Alfiano Natta,AL,45.049444,8.209444
Alice Bel Colle,AL,44.726944,8.451667
Alice Castello,VC,45.366667,8.083333
Alluvioni Piovera,AL,45.000000,8.800000
Almese,TO,45.116876,7.394550
Alpette,TO,45.408916,7.578978
Alpignano,TO,45.095724,7.525403
Altavilla Monferrato,AL,44.994444,8.376944
Alto,CN,44.116667,8.000000
Alto Sermenza,VC,45.883330,8.000000
Alzano Scrivia,AL,45.018889,8.881667
Ameno,NO,45.783333,8.433333
Andezeno,TO,45.037748,7.870527
Andorno Micca,BI,45.610200,8.053800
Andrate,TO,45.527360,7.880318
Angrogna,TO,44.843582,7.223816
Antignano,AT,44.845059,8.134840
Antrona Schieranco,VB,46.066667,8.116667
Anzola d'Ossola,VB,45.983333,8.333333
Aramengo,AT,45.101667,8.001111
Arborio,VC,45.500000,8.383333
Argentera,CN,44.396300,6.937830
Arguello,CN,44.583333,8.116667
Arignano,TO,45.040275,7.901594
Arizzano,VB,45.955278,8.584444
Armeno,NO,45.816667,8.450000
Arola,VB,45.808333,8.357778
Arona,NO,45.756944,8.560000
Arquata Scrivia,AL,44.692500,8.881667
Asigliano Vercellese,VC,45.266667,8.416667
Asti,AT,44.900000,8.206944
Aurano,VB,46.000380,8.588220
Avigliana,TO,45.077944,7.398390
Avolasca,AL,44.804167,8.966389
Azeglio,TO,45.423459,7.993922
Azzano d'Asti,AT,44.874444,8.267778
Baceno,VB,46.266667,8.316667
Bagnasco,CN,44.304120,8.045220
Bagnolo Piemonte,CN,44.766667,7.316667
Bairo,TO,45.386587,7.755447
Balangero,TO,45.275323,7.520282
Baldichieri d'Asti,AT,44.906944,8.092778
Baldissero Canavese,TO,45.410186,7.744158
Baldissero d'Alba,CN,44.758750,7.914900
Baldissero Torinese,TO,45.068636,7.816531
Balme,TO,45.302505,7.215432
Balmuccia,VC,45.816667,8.133333
Balocco,VC,45.450000,8.283333
Balzola,AL,45.184444,8.404444
Banchette,TO,45.453558,7.856318
Bannio Anzino,VB,45.984722,8.146111
Barbania,TO,45.291252,7.630317
Barbaresco,CN,44.716667,8.083333
Bardonecchia,TO,45.078339,6.703205
Barengo,NO,45.575970,8.514030
Barge,CN,44.733333,7.316667
Barolo,CN,44.616667,7.933333
Barone Canavese,TO,45.325527,7.873063
Basaluzzo,AL,44.769722,8.705833
Bassignana,AL,45.002222,8.731944
Bastia Mondovì,CN,44.450000,7.900000
Battifollo,CN,44.319830,8.010940
Baveno,VB,45.900000,8.500000
Bee,VB,45.966667,8.583333
Beinasco,TO,45.022097,7.579397
Beinette,CN,44.366667,7.650000
Belforte Monferrato,AL,44.626111,8.662222
Belgirate,VB,45.844429,8.577853
Bellino,CN,44.583333,7.033333
Bellinzago Novarese,NO,45.550737,8.649771
Belvedere Langhe,CN,44.500000,7.966667
Belveglio,AT,44.830833,8.329444
Bene Vagienna,CN,44.545278,7.833056
Benevello,CN,44.633333,8.100000
Benna,BI,45.514722,8.127778
Bergamasco,AL,44.828333,8.455833
Bergolo,CN,44.550937,8.177356
Bernezzo,CN,44.383333,7.433333
Berzano di San Pietro,AT,45.095833,7.953889
Berzano di Tortona,AL,44.878333,8.952500
Beura-Cardezza,VB,46.083333,8.300000
Biandrate,NO,45.450000,8.466667
Bianzè,VC,45.300000,8.116667
Bibiana,TO,44.798937,7.288219
Biella,BI,45.566389,8.053333
Bioglio,BI,45.653489,8.078544
Bistagno,AL,44.661111,8.371389
Bobbio Pellice,TO,44.807952,7.116765
Boca,NO,45.683333,8.416667
Boccioleto,VC,45.830000,8.113333
Bognanco,VB,46.126111,8.200000
Bogogno,NO,45.666667,8.533333
Bollengo,TO,45.470859,7.942020
Bolzano Novarese,NO,45.764900,8.446000
Bonvicino,CN,44.500000,8.016667
Borgaro Torinese,TO,45.152145,7.657973
Borghetto di Borbera,AL,44.730278,8.944444
Borgiallo,TO,45.417055,7.668515
Borgo d'Ale,VC,45.350000,8.050000
Borgo San Dalmazzo,CN,44.333333,7.483333
Borgo San Martino,AL,45.092590,8.523730
Borgo Ticino,NO,45.683333,8.600000
Borgo Vercelli,VC,45.366667,8.466667
Borgofranco d'Ivrea,TO,45.512860,7.858017
Borgolavezzaro,NO,45.316667,8.700000
Borgomale,CN,44.616667,8.133333
Borgomanero,NO,45.700000,8.466667
Borgomasino,TO,45.363257,7.987523
Borgomezzavalle,VB,46.057778,8.215833
Borgone Susa,TO,45.122844,7.239712
Borgoratto Alessandrino,AL,44.837222,8.539722
Borgosesia,VC,45.716944,8.276389
Borriana,BI,45.500000,8.033333
Bosco Marengo,AL,44.826389,8.678333
Bosconero,TO,45.267550,7.766600
Bosia,CN,44.600000,8.150000
Bosio,AL,44.650833,8.793889
Bossolasco,CN,44.533333,8.050000
Boves,CN,44.333333,7.550000
Bozzole,AL,45.070833,8.607500
Bra,CN,44.700000,7.850000
Brandizzo,TO,45.176607,7.838004
Briaglia,CN,44.400000,7.883333
Bricherasio,TO,44.823409,7.305296
Briga Alta,CN,44.081297,7.740889
Briga Novarese,NO,45.733333,8.450000
Brignano-Frascata,AL,44.814570,9.040050
Briona,NO,45.551944,8.458611
Brondello,CN,44.597800,7.404300
Brossasco,CN,44.569722,7.361111
Brosso,TO,45.492502,7.803289
Brovello-Carpugnino,VB,45.845278,8.533611
Brozolo,TO,45.117437,8.073603
Bruino,TO,45.021152,7.468551
Bruno,AT,44.794167,8.441667
Brusasco,TO,45.155492,8.060103
Brusnengo,BI,45.590000,8.252222
Bruzolo,TO,45.142226,7.195648
Bubbio,AT,44.664444,8.296111
Buriasco,TO,44.873640,7.410320
Burolo,TO,45.481160,7.933920
Buronzo,VC,45.483333,8.266667
Busano,TO,45.329439,7.655732
Busca,CN,44.516667,7.466667
Bussoleno,TO,45.139271,7.147717
Buttigliera Alta,TO,45.068804,7.434488
Buttigliera d'Asti,AT,45.022778,7.952222
Cabella Ligure,AL,44.674722,9.096667
Cafasse,TO,45.245961,7.517235
Calamandrana,AT,44.738056,8.339722
Calasca-Castiglione,VB,46.003390,8.169089
Callabiana,BI,45.631667,8.099444
Calliano Monferrato,AT,45.002542,8.250473
Calosso,AT,44.740833,8.228333
Caltignaga,NO,45.516667,8.583333
Caluso,TO,45.304955,7.895722
Camagna Monferrato,AL,45.018611,8.430833
Camandona,BI,45.644722,8.100000
Cambiano,TO,44.971416,7.778698
Cambiasca,VB,45.963889,8.540556
Camburzano,BI,45.544813,7.999595
Camerana,CN,44.416667,8.133333
Camerano Casasco,AT,44.992500,8.092222
Cameri,NO,45.500000,8.650000
Camino,AL,45.161111,8.291667
Campertogno,VC,45.800000,8.033333
Campiglia Cervo,BI,45.665821,7.990609
Campiglione Fenile,TO,44.804598,7.322313
Canale,CN,44.800000,8.000000
Candelo,BI,45.547778,8.106944
Candia Canavese,TO,45.327755,7.885121
Candiolo,TO,44.959244,7.601722
Canelli,AT,44.720840,8.292820
Canischio,TO,45.373987,7.596127
Cannero Riviera,VB,46.016667,8.683333
Cannobio,VB,46.066667,8.700000
Canosio,CN,44.450000,7.083333
Cantalupa,TO,44.945941,7.330317
Cantalupo Ligure,AL,44.716667,9.046111
Cantarana,AT,44.903333,8.028611
Cantoira,TO,45.343349,7.380124
Caprauna,CN,44.116667,7.950000
Caprezzo,VB,45.983333,8.566667
Capriata d'Orba,AL,44.728869,8.690356
Caprie,TO,45.118845,7.331914
Capriglio,AT,45.004136,8.007991
Caprile,BI,45.689000,8.215500
Caraglio,CN,44.416667,7.433333
Caramagna Piemonte,CN,44.783333,7.733333
Caravino,TO,45.398258,7.960322
Carbonara Scrivia,AL,44.850000,8.870833
Carcoforo,VC,45.900000,8.050000
Cardè,CN,44.745000,7.477778
Carema,TO,45.583302,7.810406
Carentino,AL,44.829722,8.472500
Caresana,VC,45.216667,8.500000
Caresanablot,VC,45.350000,8.383333
Carezzano,AL,44.808056,8.901667
Carignano,TO,44.906943,7.673225
Carisio,VC,45.416667,8.200000
Carmagnola,TO,44.846947,7.717874
Carpeneto,AL,44.677202,8.606409
Carpignano Sesia,NO,45.533333,8.433333
Carrega Ligure,AL,44.620833,9.175833
Carrosio,AL,44.659167,8.832500
Carrù,CN,44.483333,7.883333
Cartignano,CN,44.496762,7.284727
Cartosio,AL,44.591111,8.421667
Casal Cermelli,AL,44.835833,8.626111
Casalbeltrame,NO,45.433333,8.466667
Casalborgone,TO,45.130451,7.940426
Casale Corte Cerro,VB,45.916667,8.416667
Casale Monferrato,AL,45.134167,8.458333
Casaleggio Boiro,AL,44.634444,8.731389
Casaleggio Novara,NO,45.483333,8.500000
Casalgrasso,CN,44.816667,7.633333
Casalino,NO,45.358362,8.523935
Casalnoceto,AL,44.913889,8.983333
Casalvolone,NO,45.400000,8.466667
Casanova Elvo,VC,45.400000,8.300000
Casapinta,BI,45.615000,8.192222
Casasco,AL,44.828347,9.005811
Cascinette d'Ivrea,TO,45.480159,7.905619
Caselette,TO,45.104746,7.480817
Caselle Torinese,TO,45.177490,7.646367
Casorzo Monferrato,AT,45.023333,8.338056
Cassano Spinola,AL,44.767778,8.866111
Cassinasco,AT,44.690000,8.303611
Cassine,AL,44.750833,8.528889
Cassinelle,AL,44.602500,8.564444
Castagneto Po,TO,45.159251,7.889425
Castagnito,CN,44.750193,8.052862
Castagnole delle Lanze,AT,44.752222,8.151389
Castagnole Monferrato,AT,44.960000,8.305556
Castagnole Piemonte,TO,44.898142,7.566123
Castel Boglione,AT,44.722778,8.381111
Castel Rocchero,AT,44.719167,8.416389
Casteldelfino,CN,44.590556,7.070833
Castell'Alfero,AT,44.982222,8.211667
Castellamonte,TO,45.381955,7.712117
Castellania Coppi,AL,44.799444,8.931389
