name,province,latitude,longitude
Abriola,PZ,40.516667,15.783333
Accettura,MT,40.492500,16.157500
Acerenza,PZ,40.800000,15.950000
Albano di Lucania,PZ,40.583333,16.033333
Aliano,MT,40.316667,16.233333
Anzi,PZ,40.516615,15.924571
Armento,PZ,40.300000,16.066667
Atella,PZ,40.866667,15.650000
Avigliano,PZ,40.733333,15.716667
Balvano,PZ,40.650000,15.516667
Banzi,PZ,40.866667,16.016667
Baragiano,PZ,40.679764,15.593819
Barile,PZ,40.950000,15.666667
Bella,PZ,40.766667,15.533333
Bernalda,MT,40.416667,16.683333
Brienza,PZ,40.478611,15.630000
Brindisi Montagna,PZ,40.616667,15.933333
Calciano,MT,40.583333,16.200000
Calvello,PZ,40.483333,15.850000
Calvera,PZ,40.150000,16.150000
Campomaggiore,PZ,40.565900,16.072500
Cancellara,PZ,40.730680,15.924700
Carbone,PZ,40.133333,16.083333
Castelgrande,PZ,40.783333,15.433333
Castelluccio Inferiore,PZ,40.000000,15.983333
Castelluccio Superiore,PZ,40.016667,15.983333
Castelmezzano,PZ,40.533333,16.050000
Castelsaraceno,PZ,40.166667,15.983333
Castronuovo di Sant'A.,PZ,40.190710,16.185481
Cersosimo,PZ,40.050000,16.350000
Chiaromonte,PZ,40.116667,16.216667
Cirigliano,MT,40.400000,16.166667
Colobraro,MT,40.183333,16.433333
Corleto Perticara,PZ,40.383333,16.050000
Craco,MT,40.378611,16.440000
Episcopia,PZ,40.074810,16.098180
Fardella,PZ,40.116667,16.166667
Ferrandina,MT,40.500000,16.450000
Filiano,PZ,40.816667,15.700000
Forenza,PZ,40.866667,15.850000
Francavilla in Sinni,PZ,40.083333,16.200000
Gallicchio,PZ,40.283333,16.133333
Garaguso,MT,40.550000,16.233333
Genzano di Lucania,PZ,40.850000,16.033333
Ginestra,PZ,40.933333,15.733333
Gorgoglione,MT,40.400000,16.150000
Grassano,MT,40.633333,16.283333
Grottole,MT,40.600000,16.383333
Grumento Nova,PZ,40.283889,15.889722
Guardia Perticara,PZ,40.366667,16.100000
Irsina,MT,40.750000,16.233333
Lagonegro,PZ,40.133333,15.766667
Latronico,PZ,40.090000,16.010833
Laurenzana,PZ,40.450000,15.966667
Lauria,PZ,40.047222,15.835833
Lavello,PZ,41.050000,15.800000
Maratea,PZ,39.992778,15.716667
Marsico Nuovo,PZ,40.416667,15.733333
Marsicovetere,PZ,40.374444,15.826111
Maschito,PZ,40.916667,15.833333
Matera,MT,40.666667,16.600000
Melfi,PZ,40.996389,15.655833
Miglionico,MT,40.566667,16.500000
Missanello,PZ,40.283333,16.166667
Moliterno,PZ,40.240000,15.860000
Montalbano Jonico,MT,40.283333,16.566667
Montemilone,PZ,41.033333,15.966667
Montemurro,PZ,40.300000,15.983333
Montescaglioso,MT,40.550000,16.666667
Muro Lucano,PZ,40.750000,15.483333
Nemoli,PZ,40.066667,15.800000
Noepoli,PZ,40.083333,16.333333
Nova Siri,MT,40.150000,16.533333
Oliveto Lucano,MT,40.533333,16.183333
Oppido Lucano,PZ,40.766667,15.983333
Palazzo San Gervasio,PZ,40.932222,15.981389
Paterno,PZ,37.566750,14.902540
Pescopagano,PZ,40.836111,15.398806
Picerno,PZ,40.633333,15.633333
Pietragalla,PZ,40.750000,15.883333
Pietrapertosa,PZ,40.516667,16.066667
Pignola,PZ,40.566667,15.783333
Pisticci,MT,40.383333,16.550000
Policoro,MT,40.200000,16.666667
Pomarico,MT,40.516667,16.550000
Potenza,PZ,40.633333,15.800000
Rapolla,PZ,40.988670,15.695882
Rapone,PZ,40.850000,15.500000
Rionero in Vulture,PZ,40.916667,15.666667
Ripacandida,PZ,40.912778,15.725556
Rivello,PZ,40.078210,15.757980
Roccanova,PZ,40.216667,16.200000
Rotonda,PZ,39.954275,16.039764
Rotondella,MT,40.166667,16.516667
Ruoti,PZ,40.716667,15.683333
Ruvo del Monte,PZ,40.847222,15.540000
Salandra,MT,40.533333,16.316667
San Chirico Nuovo,PZ,40.683333,16.083333
San Chirico Raparo,PZ,40.190720,16.076350
San Costantino Albanese,PZ,40.033333,16.300000
San Fele,PZ,40.816470,15.540430
San Giorgio Lucano,MT,40.116667,16.383333
San Martino d'Agri,PZ,40.233333,16.050000
San Mauro Forte,MT,40.483333,16.250000
San Paolo Albanese,PZ,40.033333,16.333333
San Severino Lucano,PZ,40.016667,16.133333
Sant'Angelo Le Fratte,PZ,40.546944,15.557500
Sant'Arcangelo,PZ,40.248520,16.270460
Sarconi,PZ,40.223040,15.909783
Sasso di Castalda,PZ,40.483333,15.683333
Satriano di Lucania,PZ,40.545000,15.639167
Savoia di Lucania,PZ,40.566667,15.550000
Scanzano Jonico,MT,40.250000,16.700000
Senise,PZ,40.133333,16.283333
Spinoso,PZ,40.266667,15.966667
Stigliano,MT,40.400000,16.233333
Teana,PZ,40.127778,16.155278
Terranova di Pollino,PZ,39.983333,16.300000
Tito,PZ,40.583333,15.683333
Tolve,PZ,40.700000,16.016667
Tramutola,PZ,40.316667,15.783333
Trecchina,PZ,40.033333,15.766667
Tricarico,MT,40.616667,16.150000
Trivigno,PZ,40.583333,15.983333
Tursi,MT,40.250000,16.466667
Vaglio Basilicata,PZ,40.675147,15.896061
Valsinni,MT,40.166667,16.450000
Venosa,PZ,40.966667,15.816667
Vietri di Potenza,PZ,40.600000,15.500000
Viggianello,PZ,39.966667,16.083333
Viggiano,PZ,40.333333,15.900000
